area,sub_area,dept,course_num,units,title,description
1,A,EWRT,1A,5,Composition and Reading,Introduction to university level reading and writing❤️ with an emphasis on analysis. Close examination of a variety of texts (personal❤️ popular❤️ literary❤️ professional❤️ academic) from culturally diverse traditions. Practice in common rhetorical strategies used in academic writing. Composition of clear❤️ well-organized❤️ and well-developed essays❤️ with varying purposes and differing audiences❤️ from personal to academic.
1,B,EWRT,2,5,Critical Reading❤️ Writing and Thinking,Develops critical thinking skills and the ability to apply these skills to reading and writing. Develop analytical and argumentative academic essays based on reading of complex texts❤️ and the use of outside research leading to analysis❤️ comparison❤️ and synthesis and a documented research paper.
1,B,PHIL,3,5,Critical Thinking and Writing,An introduction to the study of argumentation❤️ critical evaluation❤️ the structure of language in written composition❤️ and research techniques. Practical applications of critical thinking skills in everyday situations such as problem solving and evaluation of arguments will also be explored. A major research paper is also required for the course.
1,B,SPCH,9,5,Argumentation: Analysis of Oral and Written Communication,Study of argumentation and critical thinking in the context of reading❤️ discussion❤️ and writing. Argumentation is studied as a mode of discourse aimed at critically testing the acceptability of a point of view through the use of inquiry❤️ reasoning❤️ and discussion with the goal of establishing reasonable and defensible arguments while addressing differences of opinion and working towards resolution.
1,C,SPCH,1,4,Public Speaking,Theory and techniques of public speaking in a democratic society. An introduction to a variety of perspectives and approaches used to research❤️ organize❤️ deliver❤️ and evaluate public presentations.
1,C,SPCH,10,4,Fundamentals of Oral Communication,An introduction to the basic principles and methods of oral communication with emphasis on improving speaking and listening skills in the multicultural contexts of interpersonal❤️ small group❤️ and public communication.
2,A,MATH,1A,5,Calculus I,Fundamentals of differential calculus.
2,A,MATH,1B,5,Calculus II,Fundamentals of integral calculus.
2,A,MATH,1C,5,Calculus III,Infinite series❤️ lines and surfaces in three dimensions❤️ vectors in two and three dimensions❤️ parametric equations of curves. Derivatives and integrals of vector functions.
2,A,MATH,1D,5,Calculus IV,Partial derivatives❤️ multiple integrals❤️ vector calculus
2,A,MATH,2A,5,Differential Equations,Ordinary differential equations and selected applications.
2,A,MATH,2B,5,Linear Algebra,Linear algebra and selected topics of mathematical analysis
2,A,MATH,10,5,Elementary Statistics and Probability,Introduction to data analysis making use of graphical and numerical techniques to study patterns and departures from patterns. The student studies randomness with an emphasis on understanding variation❤️ collects information in the face of uncertainty❤️ checks distributional assumptions❤️ tests hypotheses❤️ uses probability as a tool for anticipating what the distribution of data may look like under a set of assumptions❤️ and uses appropriate statistical models to draw conclusions from data. The course introduces the student to applications in engineering❤️ business❤️ economics❤️ medicine❤️ education❤️ social sciences❤️ psychology❤️ the sciences❤️ and those pertaining to issues of contemporary interest. The use of technology (computers or graphing calculators) will be required in certain applications. Where appropriate❤️ the contributions to the development of statistics by men and women from diverse cultures will be introduced.
2,A,MATH,11,5,Finite Mathematics,Application of linear equations❤️ sets❤️ matrices❤️ linear programming❤️ mathematics of finance and probability to real-life problems. Emphasis on the understanding of the modeling process❤️ and how mathematics is used in real-world applications.
2,A,MATH,12,5,Introductory Calculus for Business and Social Science,Introduction to limits❤️ differentiation❤️ and integration of single variable functions. Differentiation of multivariate functions. Applications in business❤️ economics❤️ and social science
2,A,MATH,22,5,Discrete Mathematics,Elements of discrete mathematics with applications to computer science. Topics include methods of proof❤️ mathematical induction❤️ logic❤️ sets❤️ relations❤️ graphs❤️ combinatorics❤️ and Boolean algebra.
2,A,MATH,23,5,Engineering Statistics,Engineering statistics provides a comprehensive introduction to probabilistic and statistical modeling for students in engineering❤️ economics❤️ finance and related disciplines in the mathematical sciences. The course exposes students to a variety of applications requiring decision making in the face of uncertainty. Topics covered include the collection and analysis of information❤️ making use of graphical and numerical techniques❤️ discrete❤️ continuous❤️ cumulative❤️ and joint probability distribution functions and use of statistical inference❤️ experimental design❤️ and equation fitting❤️ when appropriate. Many of the applications require the use of technology (computers and graphic calculators). Computer simulations are used to illustrate difficult topics and provide visualization of advanced theoretical results (e.g. the Central Limit Theorem).
2,A,MATH,43,5,Precalculus III: Advanced Topics,Conic sections❤️ parametric equations❤️ systems of equations and inequalities❤️ vectors❤️ lines and planes❤️ sequences and series❤️ polar coordinates❤️ mathematical induction❤️ and the binomial theorem.
2,A,MATH,44,5,Introduction to Contemporary Mathematics,A survey of selected topics from contemporary mathematics❤️ including problem solving techniques and connections between mathematics and culture. Includes a selection of introductory topics from symmetry; graph theory; chaos and fractals; topology; number theory; geometry; combinatorics and counting; the mathematics of social choice; data analysis❤️ probability and statistics; consumer mathematics and personal financial management.
2,A,PSYC,15,5,Basic Statistics and Research Methods in Social and Behavioral Sciences,Elementary statistics including measures of central tendency❤️ variability❤️ probability❤️ correlation❤️ tests of significance❤️ experimental and quasi-experimental designs.
2,A,SOC,15,5,Basic Statistics and Research Methods in Social and Behavioral Sciences,Elementary statistics including measures of central tendency❤️ variability❤️ probability❤️ correlation❤️ tests of significance❤️ experimental and quasi-experimental designs.
3,A,ARTS,1A,4,Introduction to the Visual Arts,An exploration of visual imagery throughout the world❤️ for the purpose of refining visual literacy skills. Works of art will be studied by means of formal analysis and medium❤️ the social experiences of artists❤️ the function of works of art in their original environment❤️ and comparison of works from different cultures. Primary emphasis will be on paintings❤️ graphic works❤️ and sculpture.
3,A,ARTS,1B,4,Architecture Past and Present,An exploration of architecture throughout the world❤️ for the purpose of refining visual literacy skills. Works of architecture will be studied comparatively with regard to form and function❤️ and numerous architectural concepts will be examined.
3,A,ARTS,2A,4,History of Art (Europe from Prehistory through Early Christianity),An introduction to the discipline of art history through analysis of images❤️ objects❤️ and works of architecture produced from the prehistoric period of European history through approximately the year 600 C.E.❤️ including discussion of Stone Age❤️ Mesopotamian❤️ Egyptian❤️ Greek❤️ Etrurian❤️ Roman❤️ and Byzantine cultures.
3,A,ARTS,2B,4,History of Art (Europe During the Middle Ages and the Renaissance),An introduction to the discipline of art history through analysis of images❤️ objects❤️ and works of architecture produced from approximately 600 through 1600 C.E.❤️ including discussion of Islamic and European cultures during the Middle Ages❤️ and the art of the Renaissance (including Mannerism) in both northern and southern Europe.
3,A,ARTS,2C,4,History of Art (Europe from the Baroque Period through Impressionism),An introduction to the discipline of art history through analysis of images❤️ objects❤️ and works of architecture produced in Europe from c. 1600 through the 1880s❤️ including discussion of both northern and southern European cultures.
3,A,ARTS,2D,4,History of Art (Europe and the United States from Post-Impressionism to the Present),An introduction to the discipline of art history through analysis of images❤️ objects❤️ and works of architecture produced from the 1880s to the present❤️ including discussion of numerous European and American cultural groups.
3,A,ARTS,2F,4,History of Art (Multicultural Arts in the United States),A cross-cultural introduction to American art history which includes interdisciplinary analysis of diverse art forms generated by artists of color❤️ including African Americans❤️ Asian Americans❤️ Native Americans❤️ Latina(o)s/Chicana(o)s❤️ and Americans of non-European heritage. Significant attention will be given to issues considered important by each ethnicity or group as well as issues related to racism❤️ gender❤️ and social class. Traditions❤️ values❤️ and cultural expressions of diverse societies and their contributions to American visual culture are explored.
3,A,ARTS,2G,4,History of Art (Arts of Asia),A general introduction to art through major Asian artistic traditions. Focuses upon paintings❤️ sculptures❤️ ceramics❤️ and architecture and their religious❤️ cultural❤️ historical❤️ and social contexts. Examines arts from China❤️ Japan❤️ India❤️ Central Asia❤️ Himalayas❤️ and Southeast Asia and assesses the contributions of Asian art in a global context.
3,A,ARTS,2H,4,History of Art: Native Arts of Mesoamerica and the Andes,A general introduction to the visual arts of the indigenous cultures of Mesoamerica❤️ an area extending from northern Mexico through Central America❤️ and the Andean region of South America. This course covers diverse art forms❤️ including architecture❤️ ceramics❤️ weaving❤️ painting and sculpture from antiquity to the present with emphasis upon the Pre-Columbian past. Topics addressing the religious❤️ cultural❤️ social❤️ economic and political contexts of the art will be explored. Compares indigenous arts of the Americas to other world art traditions and assesses the contributions of indigenous cultures in a global context.
3,A,ARTS,2J,4,History of Art: Arts of Africa❤️ Oceania and Native North America,A general introduction to some of the many indigenous art traditions around the world❤️ with emphasis placed upon traditional arts created for use in small-scale communities from the Americas❤️ South Pacific region and Africa. Diverse art forms covered will include sculpture❤️ painting❤️ performance❤️ ceramics❤️ textiles and architecture from antiquity through the colonial period to the present. Topics addressing the religious❤️ cultural❤️ social❤️ economic and political contexts of the art will be explored. Compares arts from indigenous peoples to other world art traditions and assesses the contributions of indigenous arts in a global context.
3,A,ARTS,2K,4,History of Art: Visual Arts of Islam,An exploration of the visual arts of Islam in a global context❤️ including comparative analysis of the arts from diverse regions of the Islamic world. Examines artistic traditions of calligraphy❤️ miniature painting❤️ textiles❤️ decorative arts and architecture from the beginnings of the Islamic faith to the present❤️ and Islamic contributions to world art history. Includes interdisciplinary analysis of Islamic visual arts❤️ emphasizing the cultural and religious contexts❤️ as well as issues related to gender and social class.
3,A,ARTS,2L,4,History of Art: Visual Arts of Africa,A general introduction to the visual arts of Africa❤️ covering diverse art forms❤️ including sculpture❤️ painting❤️ performance❤️ ceramics❤️ textiles and architecture from antiquity through the colonial period to the present. Topics addressing the religious❤️ cultural❤️ social❤️ economic and political contexts of the art will be explored. Compares arts from Africa to other world art traditions and assesses the contributions of African arts in a global context.
3,A,ARTS,3TC,4,Women and Art,A history of women in relation to society and the visual arts from prehistory to the present. Social perceptions and obstacles relevant to women artists will be discussed❤️ and students will engage in cross-cultural comparison of works produced in western and non-western cultures made by women❤️ and in which women serve as subject matter.
3,A,ARTS,3TD,4,American Art: Public and Private,An introduction to the discipline of art history through analysis of art in the United States which emphasizes discussion of paintings❤️ sculpture❤️ and works of architecture produced for both public and private purposes❤️ from the seventeenth century to the present day
3,A,ARTS,3TE,4,Today’s Art Scene,Focuses on the issues and challenges facing today’s working artists. Topics include; the roots of international contemporary art❤️ technological influences on current art practices❤️ and the essential components for assembling a dynamic portfolio presentation.
3,A,DANC,38A,4,Appreciation of Dance,A study of dance as a cultural phenomenon❤️ form of communication❤️ socialization❤️ recreation❤️ artistic expression❤️ and entertainment. Exploring the history❤️ traditions and works of outstanding artists.
3,A,ELIT,6,4,Cinema and the African American (An Historical Analysis of African Americans in American Cinema),A survey of the image and role of the American film industry. Particular attention will be given to the development of images of racial stereotypes❤️ those works attempting a historical portrayal of the African American experience and the roles played by key African Americans in the evolution of film as an art and feature films as an industry in the United States.
3,A,E S,3,4,Imagery of the Environment,An introduction to the academic discipline of Environmental Studies through historical and contemporary analysis of nature-based imagery. What those representations indicate about past and present environmental changes will be discussed. Roles of the artist as naturalist❤️ scientist and conservationist will be explored❤️ as well as visual representation by a diverse range of cultural groups. (One field trip outside of class may be required for this course.)
3,A,F/TV,1,4,Introduction to Film,An introduction to the international art of cinema through the techniques and procedures of filmmaking❤️ including screenwriting❤️ cinematography❤️ directing❤️ editing❤️ and sound; through the formal properties of film❤️ such as mise-en-scene❤️ structure❤️ and style; through the relationships between film and society❤️ and through the critical analysis of works of film art.
3,A,F/TV,2A,4,History of Cinema (1895-1950),A survey of the international development of the motion picture to 1950 as a distinct form of artistic expression❤️ through classic films❤️ notable artists❤️ and key events; an investigation of the aesthetic❤️ technological❤️ economic❤️ and social factors that contributed to the evolution of film; an examination of the value systems reflected in and shaped by these works from diverse cultures. F/TV 2AW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis.
3,A,F/TV,2AW,4.5,History of Cinema (1895-1950),A survey of the international development of the motion picture to 1950 as a distinct form of artistic expression❤️ through classic films❤️ notable artists❤️ and key events; an investigation of the aesthetic❤️ technological❤️ economic❤️ and social factors that contributed to the evolution of film; an examination of the value systems reflected in and shaped by these works from diverse cultures. F/TV 2AW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis.
3,A,F/TV,2B,4,History of Cinema (1950-Present),A survey of the international development of the motion picture since 1950 as a distinct form of artistic expression❤️ through classic films❤️ notable artists❤️ and key events; an investigation of the aesthetic❤️ technological❤️ economic❤️ and social factors that contributed to the evolution of film; an examination of the value systems reflected in and shaped by these works from diverse cultures. F/TV 2BW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis.
3,A,F/TV,2BW,4.5,History of Cinema (1950-Present),A survey of the international development of the motion picture since 1950 as a distinct form of artistic expression❤️ through classic films❤️ notable artists❤️ and key events; an investigation of the aesthetic❤️ technological❤️ economic❤️ and social factors that contributed to the evolution of film; an examination of the value systems reflected in and shaped by these works from diverse cultures. F/TV 2BW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis.
3,A,F/TV,2C,4,Contemporary World Cinema,Critical survey of contemporary world cinema as art❤️ business❤️ technology and cultural artifact. Provides critical methodology and practical tools for analyzing and interpreting the work of notable film artists❤️ current international film movements and genres❤️ and transnational and globalized media developments. F/TV 2CW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis
3,A,F/TV,2CW,4.5,Contemporary World Cinema,Critical survey of contemporary world cinema as art❤️ business❤️ technology and cultural artifact. Provides critical methodology and practical tools for analyzing and interpreting the work of notable film artists❤️ current international film movements and genres❤️ and transnational and globalized media developments. F/TV 2CW will cover expanded topics in historiography❤️ such as problems and approaches to historical film research and analysis
3,A,F/TV,48,4,Cinema and the African American (An Historical Analysis of African Americans in American Cinema),A survey of the image and role of the American film industry. Particular attention will be given to the development of images of racial stereotypes❤️ those works attempting a historical portrayal of the African American experience and the roles played by key African Americans in the evolution of film as an art and feature films as an industry in the United States.
3,A,HUMI,1,4,Creative Minds,An introduction to the study of creativity in human life; its sources❤️ development❤️ social purpose❤️ and role in culture change. Students analyze creativity as a central source of meaning and purpose in their lives as well as a development of their unique combination of human intelligences. Lives of creative people from all over the world are examined and contextualized.
3,A,HUMI,15,4,Discussion on the Arts,Art forms such as painting❤️ sculpture❤️ architecture❤️ music❤️ dance❤️ drama❤️ literature❤️ film and photography will be explored to provide a forum for discussion on how H All courses are for unit credit and apply to a 2014-2015 De Anza College Catalog De Anza associate degree unless otherwise noted. 165 the arts affect humanity❤️ reflect the human spirit❤️ touch the soul❤️ and stimulate mankind’s creativity. A great first time❤️ multicultural exposure to the arts. Focus will be on enhancing the student’s ability to experience the uniqueness of each art form and to develop a depth of understanding of its expression and relevance.
